NDB_No,food_name,food_group,NDB_No_new,Nutr_No_new,Nutr_No,nut_name,nut_desc,chem_id,unit,Nutr_Val,Num_Data_Pts,Std_Error,Src_Cd,Deriv_Cd,Ref_NDB_No,Add_Nutr_Mark,Num_Studies,Min,Max,DF,Low_EB,Up_EB,Stat_Cmt,food_name_short,Src_Des,AddMod_Date,flav_file_type,flav_class
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,37,324,VITD,Vitamin D,21950,IU,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Feb-09,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,40,328,VITD,Vitamin D (D2 + D3),21950,åµg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Nov-08,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,41,334,CRYPX,"Cryptoxanthin, beta",12022,åµg,0,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,42,337,LYCPN,Lycopene,20651,åµg,0,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,43,338,LUT+ZEA,Lutein + zeaxanthin,19872,åµg,16,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,51,401,VITC,"Vitamin C, total ascorbic acid",1224,mg,31.2,11,1.645,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,52,404,THIA,Thiamin,8426,mg,0.2,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,53,405,RIBF,Riboflavin,12163,mg,0.11,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,54,406,NIA,Niacin,1014,mg,0.7,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,55,410,PANTAC,Pantothenic acid,8323,mg,0.596,0,,4,,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,56,415,VITB6A,Vitamin B-6,574,mg,1.235,0,,4,,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,57,417,FOL,"Folate, total",14507,åµg,3,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,58,418,VITB12,Vitamin B-12,23049,åµg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,59,421,CHOLN,"Choline, total",710,mg,23.2,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,62,430,VITK1,Vitamin K (phylloquinone),12360,åµg,1.7,0,,4,BFSN,11282,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,63,431,FOLAC,Folic acid,14507,åµg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Jan-01,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,64,432,FOLFD,"Folate, food",14507,åµg,3,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,65,435,FOLDFE,"Folate, DFE",14507,åµg,3,0,,4,NC,,,,,,,,,,"GARLIC,RAW",Calculated or imputed,Mar-07,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,67,501,TRP_G,Tryptophan,2250,g,0.066,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,68,502,THR_G,Threonine,12002,g,0.157,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,69,503,ILE_G,Isoleucine,12400,g,0.217,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,70,504,LEU_G,Leucine,1946,g,0.308,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,71,505,LYS_G,Lysine,474,g,0.273,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,72,506,MET_G,Methionine,12686,g,0.076,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,73,507,CYS_G,Cystine,12566,g,0.065,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,74,508,PHE_G,Phenylalanine,14708,g,0.183,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,75,509,TYR_G,Tyrosine,446,g,0.081,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,76,510,VAL_G,Valine,465,g,0.291,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,77,511,ARG_G,Arginine,2257,g,0.634,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,78,512,HISTN_G,Histidine,11859,g,0.113,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,79,513,ALA_G,Alanine,556,g,0.132,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,80,514,ASP_G,Aspartic acid,12570,g,0.489,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,81,515,GLU_G,Glutamic acid,12538,g,0.805,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,82,516,GLY_G,Glycine,484,g,0.2,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,83,517,PRO_G,Proline,570,g,0.1,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,84,518,SER_G,Serine,12742,g,0.19,1,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,86,573,,"Vitamin E, added",565,mg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Sep-04,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,87,578,,"Vitamin B-12, added",23049,åµg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Sep-04,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,88,601,CHOLE,Cholesterol,13272,mg,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,89,605,FATRN,"Fatty acids, total trans",,g,0,0,,7,Z,,,,,,,,,,"GARLIC,RAW",Assumed zero,Jun-15,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,90,606,FASAT,"Fatty acids, total saturated",,g,0.089,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,91,607,F4D0,4:00,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,92,608,F6D0,6:00,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,93,609,F8D0,8:00,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,94,610,F10D0,10:00,,g,0.002,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,95,611,F12D0,12:00,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,96,612,F14D0,14:00,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,97,613,F16D0,16:00,,g,0.087,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,98,614,F18D0,18:00,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,100,617,F18D1,18:1 undifferentiated,,g,0.011,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,101,618,F18D2,18:2 undifferentiated,,g,0.229,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,102,619,F18D3,18:3 undifferentiated,,g,0.02,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,103,620,F20D4,20:4 undifferentiated,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,104,621,F22D6,22:6 n-3 (DHA),,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,107,626,F16D1,16:1 undifferentiated,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,108,627,F18D4,18:04,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,109,628,F20D1,20:01,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,110,629,F20D5,20:5 n-3 (EPA),,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,111,630,F22D1,22:1 undifferentiated,,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,112,631,F22D5,22:5 n-3 (DPA),,g,0,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Feb-95,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,117,645,FAMS,"Fatty acids, total monounsaturated",,g,0.011,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,118,646,FAPU,"Fatty acids, total polyunsaturated",,g,0.249,0,,1,,,,,,,,,,,"GARLIC,RAW",Analytical or derived from analytical,Aug-84,sr28,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,142,710,,Daidzein,2608,mg,0.005,2,0.007071068,1,A,,,,0,0.01,,,,,,Analytical,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,143,711,,Genistein,11831,mg,0.015,2,0.007071068,1,A,,,,0.01,0.02,,,,,,Analytical,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,144,712,,Glycitein,698,mg,0,1,,1,A,,,,0,0,,,,,,Analytical,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,145,713,,Total isoflavones,5583,mg,0.02,2,0,,,,,,0.02,0.02,,,,,,,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,146,714,,Biochanin A,12226,mg,0.05,1,,,,,,,0.05,0.05,,,,,,,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,147,715,,Formononetin,12222,mg,0.0004,2,0.000565685,,,,,,0,0.0008,,,,,,,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,148,716,,Coumestrol,11666,mg,5.00E-05,2,7.07E-05,,,,,,0,0.0001,,,,,,,,Isoflavone,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,149,731,CYAD,Cyanidin,2602,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Anthocyanidins
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,150,734,,PAdimer,,mg,0,1,,,,,,,,,,,,,,,,Proanthocyanidin,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,151,735,,PAtrimer,,mg,0,1,,,,,,,,,,,,,,,,Proanthocyanidin,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,152,736,,PA4-6mer,,mg,0,1,,,,,,,,,,,,,,,,Proanthocyanidin,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,153,737,,PA7-10mer,,mg,0,1,,,,,,,,,,,,,,,,Proanthocyanidin,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,154,738,,PApolymer,,mg,0,1,,,,,,,,,,,,,,,,Proanthocyanidin,
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,155,740,PETUNIDIN,Petunidin,2755,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Anthocyanidins
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,156,741,DELPH,Delphinidin,2613,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Anthocyanidins
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,157,742,MALVIDIN,Malvidin,2713,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Anthocyanidins
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,158,743,,Pelargonidin,12429,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Anthocyanidins
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,159,745,PEONIDIN,Peonidin,2753,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Anthocyanidins
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,160,749,,(+)-Catechin,2571,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,161,750,EPICATEGC,(-)-Epigallocatechin,17707,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,162,751,EPICATEC,(-)-Epicatechin,2576,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,163,752,EPICATECG3,(-)-Epicatechin 3-gallate,17121,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,164,753,,(-)-Epigallocatechin 3-gallate,17709,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,165,755,,Theaflavin,12514,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,166,756,,Thearubigins,,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,167,758,,Eriodictyol,688,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavanones
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,168,759,HESPT,Hesperetin,2677,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavanones
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,169,762,NARING,Naringenin,678,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavanones
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,170,770,APIGEN,Apigenin,2798,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavones
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,171,773,LUTEOL,Luteolin,13258,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavones
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,172,785,,Isorhamnetin,604,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavonols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,173,786,KAEMF,Kaempferol,633,mg,0.26,1,,1,A,,,,0.26,0.26,,,,,,Analytical,,Flavonoid,Flavonols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,174,788,MYRIC,Myricetin,12727,mg,1.61,1,,1,A,,,,1.61,1.61,,,,,,Analytical,,Flavonoid,Flavonols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,175,789,QUERCE,Quercetin,11907,mg,1.74,1,,1,A,,,,1.74,1.74,,,,,,Analytical,,Flavonoid,Flavonols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,176,791,,"Theaflavin-3,3'-digallate",2426,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,177,792,,Theaflavin-3'-gallate,12515,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,178,793,,Theaflavin-3-gallate,12515,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
11215,"Garlic, raw",Vegetables and Vegetable Products,3069,179,794,GALCATEGC,(+)-Gallocatechin,17712,mg,0,,,7,Z,,,,,,,,,,,Assumed zero,,,Flavan-3-ols
