PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,usefulness_tier,fold,comments,useful_no_pdf
28932845,"Garlic (A. sativum) contains a large number of small sulphur (S)-containing metabolites, which are important for its taste and smell and vary with A. sativum variety and growth conditions. This study was designed to investigate the influence of different sulphur-fertilization regimes on low molecular weight S-species by attempting the first sulphur mass balance in A. sativum roots and bulbs using HPLC-ICPMS/MS-ESI-MS/MS. Species unspecific quantification of acid soluble S-containing metabolites was achieved using HPLC-ICP-MS/MS. For identification of the compounds, high resolution ESI-MS (Orbitrap LTQ and q-TOF) was used. The plants contained up to 54 separated sulphur-containing compounds, which constitute about 80% of the total sulphur present in A. sativum. The roots and bulbs of A. sativum contained the same compounds, but not necessarily the same amounts and proportions. The S-containing metabolites in the roots reacted more sensitively to manipulations of sulphur fertilization than those compounds in the bulbs. In addition to known compounds (e.g. γ-glutamyl-S-1-propenylcysteine) we were able to identify and partially quantify 31 compounds. Three as yet undescribed S-containing compounds were also identified and quantified for the first time. Putative structures were assigned to the oxidised forms of S-1-propenylmercaptoglutathione, S-2-propenylmercaptoglutathione, S-allyl/propenyl-containing PC-2 and 2-amino-3-[(2-carboxypropyl)sulfanyl]propanoic acid. The parallel use of ICP-MS/MS as a sulphur-specific detector and ESI-MS as a molecular detector simplifies the identification and quantification of sulphur containing metabolites without species specific standards. This non-target analysis approach enables a mass balance approach and identifies the occurrence of the so far unidentified organosulphur compounds. The experiments showed that the sulphur-fertilization regime does not influence sulphur-speciation, but the concentration of some S-containing compounds in roots is dependent on sulphur fertilization.",Metallomics : integrated biometal science,"['D002851', 'D005737', 'D021241', 'D013457', 'D053719']","['Chromatography, High Pressure Liquid', 'Garlic', 'Spectrometry, Mass, Electrospray Ionization', 'Sulfur Compounds', 'Tandem Mass Spectrometry']",Sulphur fertilization influences the sulphur species composition in Allium sativum: sulphomics using HPLC-ICPMS/MS-ESI-MS/MS.,"['Q000379', 'Q000737', 'Q000379', 'Q000032', 'Q000379']","['methods', 'chemistry', 'methods', 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/28932845,2018,0.0,0.0,,,
28911676,"Black garlic produced from fresh garlic under controlled high temperature and humidity has strong antioxidant properties. To determine these compounds, five fractions (from F1 to F5) were separated and purified by elution with chloroform:methanol at different ratios (8:1, 6:1, 4:1, 2:1, and 0:1; v/v). The antioxidant activity of each fraction was analyzed. The results showed that F3 and F4 had higher phenolic contents and stronger 2,2-diphenyl-2-picrylhydrazyl radical scavenging activity than the others. Seven purified individual components were further separated using semipreparation high-performance liquid chromatography from these two intensely antioxidant fractions (F3 and F4), their structures were elucidated by high-performance liquid chromatography coupled to diode array detection, electrospray ionization, mass spectrometry, ",Journal of food and drug analysis,"['D000975', 'D001713', 'D002243', 'D002851', 'D005419', 'D005737', 'D009682', 'D010936', 'D011758']","['Antioxidants', 'Biphenyl Compounds', 'Carbolines', 'Chromatography, High Pressure Liquid', 'Flavonoids', 'Garlic', 'Magnetic Resonance Spectroscopy', 'Plant Extracts', 'Pyrroles']",Composition analysis and antioxidant properties of black garlic extract.,"[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/28911676,2017,0.0,0.0,,,
28825644,"This study set out to determine the distribution of sulfur compounds and saponin metabolites in different parts of garlic cloves. Three fractions from purple and white garlic ecotypes were obtained: the tunic (SS), internal (IS) and external (ES) parts of the clove. Liquid Chromatography coupled to High Resolution Mass spectrometry (LC-HRMS), together with bioinformatics including Principal Component Analysis (PCA), Hierarchical Clustering (HCL) and correlation network analyses were carried out. Results showed that the distribution of these metabolites in the different parts of garlic bulbs was different for the purple and the white ecotypes, with the main difference being a slightly higher number of sulfur compounds in purple garlic. The SS fraction in purple garlic had a higher content of sulfur metabolites, while the ES in white garlic was more enriched by these compounds. The correlation network indicated that diallyl disulfide was the most relevant metabolite with regards to sulfur compound metabolism in garlic. The total number of saponins was almost 40-fold higher in purple garlic than in the white variety, with ES having the highest content. Interestingly, five saponins including desgalactotigonin-rhamnose, proto-desgalactotigonin, proto-desgalactotigonin-rhamnose, voghieroside D1, sativoside B1-rhamnose and sativoside R1 were exclusive to the purple variety. Data obtained from saponin analyses revealed a very different network between white and purple garlic, thus suggesting a very robust and tight coregulation of saponin metabolism in garlic. Findings in this study point to the possibility of using tunics from purple garlic in the food and medical industries, since it contains many functional compounds which can be exploited as ingredients.","Molecules (Basel, Switzerland)","['D002851', 'D016000', 'D019295', 'D060146', 'D005737', 'D013058', 'D009928', 'D012503', 'D013457']","['Chromatography, High Pressure Liquid', 'Cluster Analysis', 'Computational Biology', 'Ecotype', 'Garlic', 'Mass Spectrometry', 'Organ Specificity', 'Saponins', 'Sulfur Compounds']",Tissue-Specific Accumulation of Sulfur Compounds and Saponins in Different Parts of Garlic Cloves from Purple and White Ecotypes.,"[None, None, 'Q000379', None, 'Q000737', None, None, 'Q000737', 'Q000737']","[None, None, 'methods', None, 'chemistry', None, None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28825644,2018,0.0,0.0,1.0,,
28719747,"An epidemic fungal disease caused by Fusarium proliferatum, responsible for fumonisin production (FB1, FB2, and FB3), has been reported in the main garlic-producing countries in recent years. Fumonisins are a group of structurally related toxic metabolites produced by this pathogen. The aim of this work was to establish an enzyme-linked immunosorbent assay (ELISA) procedure, mostly applied to cereals, that is suitable for fumonisin detection in garlic and compare these results to those obtained by high-performance liquid chromatography (HPLC) and screening of fresh and dehydrated garlic for toxicological risk. The results show good correlation between the two analytical methods. In fresh symptomatic garlic, fumonisin levels were higher in the basal plates than those in the portions with necrotic spots. Among the 56 commercially dehydrated garlic samples screened, three were positive by ELISA test and only one was above the limit of quantitation. The same samples analyzed by HPLC showed the presence of FB1 in trace amounts that was below the limit of quantitation; FB2 and FB3 were absent. The results are reassuring, because no substantial contamination by fumonisins was found in commercial garlic.",Journal of agricultural and food chemistry,"['D005506', 'D005511', 'D037341', 'D005670', 'D005737', 'D009183', 'D010935']","['Food Contamination', 'Food Handling', 'Fumonisins', 'Fusarium', 'Garlic', 'Mycotoxins', 'Plant Diseases']",Detection of Fumonisins in Fresh and Dehydrated Commercial Garlic.,"['Q000032', None, 'Q000032', 'Q000378', 'Q000737', 'Q000032', 'Q000382']","['analysis', None, 'analysis', 'metabolism', 'chemistry', 'analysis', 'microbiology']",https://www.ncbi.nlm.nih.gov/pubmed/28719747,2017,0.0,0.0,,,
28705396,"Fusarium proliferatum is a polyphagous pathogenic fungus able to infect many crop plants worldwide. Differences in proteins accumulated were observed when maize- and asparagus-derived F. proliferatum strains were exposed to host extracts prepared from asparagus, maize, garlic, and pineapple tissues. Seventy-three unique proteins were up-regulated in extract-supplemented cultures compared to the controls. They were all identified using mass spectrometry and their putative functions were assigned. A major part of identified proteins was involved in sugar metabolism and basic metabolic processes. Increased accumulation of proteins typically associated with stress response (heat shock proteins, superoxide dismutases, and glutaredoxins) as well as others, putatively involved in signal transduction, suggests that some metabolites present in plant extracts may act as elicitors inducing similar reaction as the abiotic stress factors. As a case study, thirteen genes encoding the proteins induced by the extracts were identified in the genomes of diverse F. proliferatum strains using gene-specific DNA markers. Extract-induced changes in the pathogen's metabolism are putatively a result of differential gene expression regulation. Our findings suggest that host plant metabolites present in the extracts can cause biotic stress resulting in elevated accumulation of diverse set of proteins, including those associated with pathogen's stress response.",Fungal biology,"['D000222', 'D005656', 'D005670', 'D015966', 'D013058', 'D058977', 'D010936', 'D020543', 'D013312']","['Adaptation, Physiological', 'Fungal Proteins', 'Fusarium', 'Gene Expression Regulation, Fungal', 'Mass Spectrometry', 'Molecular Sequence Annotation', 'Plant Extracts', 'Proteome', 'Stress, Physiological']",Host extracts induce changes in the proteome of plant pathogen Fusarium proliferatum.,"[None, 'Q000032', 'Q000737', 'Q000187', None, None, 'Q000378', 'Q000032', None]","[None, 'analysis', 'chemistry', 'drug effects', None, None, 'metabolism', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/28705396,2018,0.0,0.0,,,
28683396,The black garlic juice is popular for its nutritive value. Enrichment of antioxidants is needed to make black garlic extract an effective functional ingredient. Five macroporous resins were evaluated for their capacity in adsorbing antioxidants in black garlic juice. XAD-16 resin was chosen for further study due to its high adsorption and desorption ratios. Pseudo-second-order kinetics (q,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","['D000327', 'D000975', 'D002852', 'D004912', 'D005737', 'D006461', 'D006801', 'D007475', 'D010936']","['Adsorption', 'Antioxidants', 'Chromatography, Ion Exchange', 'Erythrocytes', 'Garlic', 'Hemolysis', 'Humans', 'Ion Exchange Resins', 'Plant Extracts']",Enrichment of antioxidants in black garlic juice using macroporous resins and their protective effects on oxidation-damaged human erythrocytes.,"[None, 'Q000032', 'Q000295', 'Q000187', 'Q000737', 'Q000187', None, 'Q000737', 'Q000032']","[None, 'analysis', 'instrumentation', 'drug effects', 'chemistry', 'drug effects', None, 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/28683396,2017,1.0,1.0,,,
28677661,Right-sided heart failure-often caused by elevated pulmonary arterial pressure-is a chronic and progressive condition with particularly high mortality rates. Recent studies and our current findings suggest that components of Wild garlic (,International journal of molecular sciences,"['D000490', 'D000818', 'D015415', 'D004195', 'D004452', 'D006334', 'D006976', 'D008168', 'D008297', 'D013058', 'D009206', 'D010936', 'D011651', 'D051381', 'D000068677']","['Allium', 'Animals', 'Biomarkers', 'Disease Models, Animal', 'Echocardiography', 'Heart Function Tests', 'Hypertension, Pulmonary', 'Lung', 'Male', 'Mass Spectrometry', 'Myocardium', 'Plant Extracts', 'Pulmonary Artery', 'Rats', 'Sildenafil Citrate']",A Novel Therapeutic Approach in the Treatment of Pulmonary Arterial Hypertension: Allium ursinum Liophylisate Alleviates Symptoms Comparably to Sildenafil.,"['Q000737', None, None, None, None, None, 'Q000175', 'Q000378', None, None, 'Q000378', 'Q000737', 'Q000187', None, 'Q000494']","['chemistry', None, None, None, None, None, 'diagnosis', 'metabolism', None, None, 'metabolism', 'chemistry', 'drug effects', None, 'pharmacology']",https://www.ncbi.nlm.nih.gov/pubmed/28677661,2018,0.0,0.0,,,
28629219,"Glucosinolates are the most abundant secondary sulfur-containing plant metabolites in the plant family of Brassicaceae. These phytochemicals are well-known for their enzymatic degradation induced by the enzyme myrosinase, resulting in pungent odor impressions derived from their respective degradation products. However, up to now, only little attention has been paid to non-enzymatic thermal degradation and the release of additional aroma-active compounds. Thermal treatment is particularly important in the processing of Brassica vegetables, and thereby, glucosinolates as precursors can act as a natural source of odorants. Application of gas chromatography-olfactometry to the volatile fractions obtained after heat treatment of sinigrin (2-propenyl glucosinolate) in different matrices (phosphate buffer at a pH value of 5, 7, or 9, silicon oil, silica gel (7% water), sea sand, and glycerol) showed a high potential to generate aroma-active compounds, mainly revealing onion- and garlic-like odor impressions deriving from sulfur-containing odorants. A clear dependency of the formation of desired aroma-active compounds upon the respective matrix was found, indicating the need of detailed investigations to obtain knowledge for the best use of glucosinolates as a source of natural aroma compositions. For example, the distillate obtained from sinigrin heat-processed in buffer solution at pH 7 led to the identification of 17 odorants.",Journal of agricultural and food chemistry,"['D001937', 'D002849', 'D003296', 'D005421', 'D005961', 'D006358', 'D009812', 'D064367', 'D014675', 'D055549']","['Brassica', 'Chromatography, Gas', 'Cooking', 'Flavoring Agents', 'Glucosinolates', 'Hot Temperature', 'Odorants', 'Olfactometry', 'Vegetables', 'Volatile Organic Compounds']",Thermally Induced Generation of Desirable Aroma-Active Compounds from the Glucosinolate Sinigrin.,"['Q000737', None, None, 'Q000737', 'Q000737', None, 'Q000032', None, 'Q000737', 'Q000737']","['chemistry', None, None, 'chemistry', 'chemistry', None, 'analysis', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28629219,2018,0.0,0.0,,,
28612465,"Garlic (Allium sativum) is the subject of many studies due to its numerous beneficial properties. Although compounds of garlic have been studied by various analytical methods, their tissue distributions are still unclear. Mass spectrometry imaging (MSI) appears to be a very powerful tool for the identification of the localisation of compounds within a garlic clove.",Phytochemical analysis : PCA,"['D005737', 'D006046', 'D013058', 'D053768']","['Garlic', 'Gold', 'Mass Spectrometry', 'Metal Nanoparticles']",Mass Spectrometry Imaging of low Molecular Weight Compounds in Garlic (Allium sativum L.) with Gold Nanoparticle Enhanced Target.,"['Q000737', 'Q000737', 'Q000379', 'Q000737']","['chemistry', 'chemistry', 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28612465,2018,0.0,0.0,,,
28560773,"Black garlic is increasing its popularity in cuisine around the world; however, scant information exists on the composition of this processed product. In this study, polar compounds in fresh garlic and in samples taken at different times during the heat treatment process to obtain black garlic have been characterized by liquid chromatography coupled to tandem mass spectrometry in high resolution mode. Ninety-five compounds (mainly amino acids and metabolites, organosulfur compounds, and saccharides and derivatives) were tentatively identified in all the analysed samples and classified as a function of the family they belong to. Statistical analysis of the results allowed establishing that the major changes in garlic occur during the first days of treatment, and they mainly affect to the three representative families. The main pathways involved in the synthesis of the compounds affected by heat treatment, and their evolution during the process were studied.",Electrophoresis,"['D000596', 'D002241', 'D002853', 'D016002', 'D005285', 'D005737', 'D006358', 'D010936', 'D053719']","['Amino Acids', 'Carbohydrates', 'Chromatography, Liquid', 'Discriminant Analysis', 'Fermentation', 'Garlic', 'Hot Temperature', 'Plant Extracts', 'Tandem Mass Spectrometry']",Untargeted analysis to monitor metabolic changes of garlic along heat treatment by LC-QTOF MS/MS.,"['Q000032', 'Q000032', 'Q000379', None, None, 'Q000737', None, 'Q000032', 'Q000379']","['analysis', 'analysis', 'methods', None, None, 'chemistry', None, 'analysis', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/28560773,2017,,,,,True
