pred,PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,usefulness_tier,info_location,comment
0.64,12166966,"New experimental data on the extraction of caffeine from guaran seeds and mat© tea leaves, and theobromine from cocoa beans, with supercritical CO2 were obtained using a high-pressure extraction apparatus. The effect of the addition of ethanol to carbon dioxide on the extraction efficiency was also investigated. Caffeine extraction yields of 98% of the initial caffeine content in both wet ground guaran seeds and mat© tea leaves were obtained. Extractions of caffeine from guaran seeds and mat© tea leaves also exhibited a retrograde behavior for the two temperatures considered in this work. In the removal of theobromine from cocoa beans, a much smaller extraction yield was obtained with longer extraction periods and consequently larger solvent requirements. The results of this study confirm the higher selectivity of CO2 for caffeine in comparison with that for theobromine, and also the influence of other components in each particular natural product on the extraction of methylxanthines. The effect of the addition of ethanol to carbon dioxide on the extraction of methylxanthines was significant, particularly in the extraction of theobromine from cocoa beans. In general, the use of ethanol results in lower solvent and energy requirements and thereby improved extraction efficiency.",Journal of agricultural and food chemistry,"['D002099', 'D002110', 'D002245', 'D025924', 'D000431', 'D030019', 'D018515', 'D029631', 'D012639', 'D013805', 'D014970']","['Cacao', 'Caffeine', 'Carbon Dioxide', 'Chromatography, Supercritical Fluid', 'Ethanol', 'Ilex paraguariensis', 'Plant Leaves', 'Sapindaceae', 'Seeds', 'Theobromine', 'Xanthines']","Extraction of methylxanthines from guaran seeds, mat© leaves, and cocoa beans using supercritical carbon dioxide and ethanol.","['Q000737', 'Q000302', None, None, None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000302', 'Q000302']","['chemistry', 'isolation & purification', None, None, None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'isolation & purification', 'isolation & purification']",https://www.ncbi.nlm.nih.gov/pubmed/12166966,2002,1,1,figure 4,total
0.64,23349790,"The sensory quality and the contents of quality-determining chemical compounds in unfermented and fermented cocoa from 100 cacao trees (individual genotypes) representing groups of nine genotype spectra (GG), grown at smallholder plantings in the municipality of Waslala, Nicaragua, were evaluated for two successive harvest periods. Cocoa samples were fermented using a technique mimicking recommended on-farm practices. The sensory cocoa quality was assessed by experienced tasters, and seven major chemical taste compounds were quantified by near infrared spectrometry (NIRS). The association of the nine, partially admixed, genotype spectra with the analytical and sensory quality parameters was tested. The individual parameters were analyzed as a function of the factors GG and harvest (including the date of fermentation), individual trees within a single GG were used as replications. In fermented cocoa, significant GG-specific differences were observed for methylxanthines, theobromine-to-caffeine (T/C) ratio, total fat, procyanidin B5 and epicatechin, as well as the sensory attributes global score, astringency, and dry fruit aroma, but differences related to harvest were also apparent. The potential cocoa yield was also highly determined by the individual GG, although there was significant tree-to-tree variation within every single GG. Non-fermented samples showed large harvest-to-harvest variation of their chemical composition, while differences between GG were insignificant. These results suggest that selection by the genetic background, represented here by groups of partially admixed genotype spectra, would be a useful strategy toward enhancing quality and yield of cocoa in Nicaragua. Selection by the GG within the local, genetically segregating populations of seed-propagated cacao, followed by clonal propagation of best-performing individuals of the selected GG could be a viable alternative to traditional propagation of cacao by seed from open pollination. Fast and gentle air-drying of the fermented beans and their permanent dry storage were an efficient and comparatively easy precondition for high cocoa quality.",PloS one,"['D044946', 'D044822', 'D018533', 'D002099', 'D002110', 'D002392', 'D005285', 'D005511', 'D005638', 'D014644', 'D005838', 'D009527', 'D044945', 'D011786', 'D012639', 'D019265', 'D013649', 'D013805', 'D014197', 'D014970']","['Biflavonoids', 'Biodiversity', 'Biomass', 'Cacao', 'Caffeine', 'Catechin', 'Fermentation', 'Food Handling', 'Fruit', 'Genetic Variation', 'Genotype', 'Nicaragua', 'Proanthocyanidins', 'Quality Control', 'Seeds', 'Spectroscopy, Near-Infrared', 'Taste', 'Theobromine', 'Trees', 'Xanthines']","Diversity of cacao trees in Waslala, Nicaragua: associations between genotype spectra, product quality and yield potential.","['Q000032', None, None, 'Q000737', 'Q000032', 'Q000032', None, 'Q000379', 'Q000737', None, None, None, 'Q000032', None, 'Q000737', None, None, 'Q000032', 'Q000737', 'Q000032']","['analysis', None, None, 'chemistry', 'analysis', 'analysis', None, 'methods', 'chemistry', None, None, None, 'analysis', None, 'chemistry', None, None, 'analysis', 'chemistry', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/23349790,2013,1,1,table 4 ,
0.64,28318272,"The odor-active constituents of cocoa pulp have been analyzed by aroma extract dilution analysis (AEDA) for the first time. Pulps of three different cocoa varieties have been investigated. The variety CCN51 showed low flavor intensities, in terms of flavor dilution (FD) factors, in comparison to varieties FSV41 and UF564, for which floral and fruity notes were detected in higher intensities. To gain first insights on a molecular level of how the cocoa pulp odorants affected the odor quality of cocoa beans during fermentation, quantitative measurements of selected aroma compounds were conducted in pulp and bean at different time points of the fermentation. The results showed significantly higher concentrations of 2-phenylethanol and 3-methylbutyl acetate in pulp than in the bean during the different time steps of the fermentation, whereas the reverse could be observed for the odorants linalool and 2-methoxyphenol. The findings of this study constitute a basis for further investigations on the aroma formation of cocoa during fermentation.",Journal of agricultural and food chemistry,"['D002099', 'D005285', 'D005421', 'D008401', 'D009812', 'D012441', 'D012639']","['Cacao', 'Fermentation', 'Flavoring Agents', 'Gas Chromatography-Mass Spectrometry', 'Odorants', 'Saccharomyces cerevisiae', 'Seeds']",Investigations on the Aroma of Cocoa Pulp ( Theobroma cacao L.) and Its Influence on the Odor of Fermented Cocoa Beans.,"['Q000737', None, 'Q000032', None, 'Q000032', 'Q000378', 'Q000737']","['chemistry', None, 'analysis', None, 'analysis', 'metabolism', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28318272,2018,0,0,,if this can be used as unquantified then add them
0.63,19191673,"Procyanidins (PCs) are highly abundant phenolic compounds in the human diet and might be responsible for the health effects of chocolate and wine. Due to low absorption of intact PCs, microbial metabolism might play an important role. So far, only a few studies, with crude extracts rich in PCs but also containing a multitude of other phenolic compounds, have been performed to reveal human microbial PC metabolites. Therefore, the origin of the metabolites remains questionable. This study included in vitro fermentation of purified PC dimers with human microbiota. The main metabolites identified were 2-(3,4-dihydroxyphenyl)acetic acid and 5-(3,4-dihydroxyphenyl)-gamma-valerolactone. Other metabolites detected were 3-hydroxyphenylacetic acid, 4-hydroxyphenylacetic acid, 3-hydroxyphenylpropionic acid, phenylvaleric acids, monohydroxylated phenylvalerolactone, and 1-(3',4'-dihydroxyphenyl)-3-(2'',4'',6''-trihydroxyphenyl)propan-2-ol. Metabolites that could be quantified accounted for at least 12 mol % of the dimers, assuming 1 mol of dimers is converted into 2 mol of metabolite. A degradation pathway, partly different from that of monomeric flavan-3-ols, is proposed.",Journal of agricultural and food chemistry,"['D015102', 'D002851', 'D019281', 'D005243', 'D005285', 'D005707', 'D056604', 'D006801', 'D007783', 'D013058', 'D010936', 'D044945']","['3,4-Dihydroxyphenylacetic Acid', 'Chromatography, High Pressure Liquid', 'Dimerization', 'Feces', 'Fermentation', 'Gallic Acid', 'Grape Seed Extract', 'Humans', 'Lactones', 'Mass Spectrometry', 'Plant Extracts', 'Proanthocyanidins']","Procyanidin dimers are metabolized by human microbiota with 2-(3,4-dihydroxyphenyl)acetic acid and 5-(3,4-dihydroxyphenyl)-gamma-valerolactone as the major metabolites.","['Q000032', None, None, 'Q000382', None, 'Q000302', None, None, 'Q000032', None, 'Q000737', 'Q000737']","['analysis', None, None, 'microbiology', None, 'isolation & purification', None, None, 'analysis', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/19191673,2009,0,0,,no cocoa
0.63,17674523,"In the article results of comparative analysis of grated cocoa and cocoa butter samples are presented. The investigation was done by modern instrumental methods such as HPLC, GC, UV- VIS-spectroscopy, and also with application of titrimetric and grarimetric methods. In the analyzed samples contents of total phenolics changes in an interval 1,0-3,2%, including monomeric proantocyanidins 0,6-1,35%; pyrroloquinoline quinine (PQQ) 0,34-0,76 microg/g; phenyl ethylamine from 2,79 to 14,97 microg/g, tyramine from 9,56 to 71,68 microg/g, dopamine from 5,3 to 25,85 microg/g; theobromine from 3,3 to 8%, caffeine from 0,49 to 0,70%; among the amino acids at the greatest quantities were presented glutaminic and asparaginic acids, arginin and leucin; three main fatty acids were determined - palmitinic (31+/-2% rel.), oleinic (35+/-2% rel.) and stearinic (35+/-2% rel.); the main phytosterins were sytosterin (up to 192 mg%) and obtusifoliol (up to 198,5 mg%).",Voprosy pitaniia,"['D000470', 'D000596', 'D001679', 'D001688', 'D002099', 'D002849', 'D002851', 'D004041', 'D005419', 'D010636', 'D010840', 'D059808', 'D013056']","['Alkaloids', 'Amino Acids', 'Biogenic Amines', 'Biological Products', 'Cacao', 'Chromatography, Gas', 'Chromatography, High Pressure Liquid', 'Dietary Fats', 'Flavonoids', 'Phenols', 'Phytosterols', 'Polyphenols', 'Spectrophotometry, Ultraviolet']",[Biologically active substances in grated cocoa and cocoa butter].,"['Q000032', 'Q000032', 'Q000032', 'Q000302', 'Q000737', None, None, 'Q000032', 'Q000032', 'Q000032', 'Q000032', None, None]","['analysis', 'analysis', 'analysis', 'isolation & purification', 'chemistry', None, None, 'analysis', 'analysis', 'analysis', 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/17674523,2007,,,,
0.63,27784867,"Discriminating vegetable oils and animal and milk fats by infrared absorption spectroscopy is difficult due to similarities in their spectral patterns. Therefore, a rapid and simple method for analyzing vegetable oils, animal fats, and milk fats using TOF/MS with an APCI direct probe ion source was developed. This method enabled discrimination of these oils and fats based on mass spectra and detailed analyses of the ions derived from sterols, even in samples consisting of only a few milligrams. Analyses of the mass spectra of processed foods containing oils and milk fats, such as butter, cheese, and chocolate, enabled confirmation of the raw material origin based on specific ions derived from the oils and fats used to produce the final product.",Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan,"['D005223', 'D005504', 'D005511', 'D013058', 'D010938']","['Fats', 'Food Analysis', 'Food Handling', 'Mass Spectrometry', 'Plant Oils']",Analysis of Processed Foods Containing Oils and Fats by Time of Flight Mass Spectrometry with an APCI Direct Probe.,"['Q000032', 'Q000379', None, 'Q000295', 'Q000032']","['analysis', 'methods', None, 'instrumentation', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/27784867,2017,,,,Access to pdf in japanese only 
0.63,25062492,"Theobroma cacao is a woody and recalcitrant plant with a very high level of interfering compounds. Standard protocols for protein extraction were proposed for various types of samples, but the presence of interfering compounds in many samples prevented the isolation of proteins suitable for two-dimensional gel electrophoresis (2-DE). An efficient method to extract root proteins for 2-DE was established to overcome these problems. The main features of this protocol are: i) precipitation with trichloroacetic acid/acetone overnight to prepare the acetone dry powder (ADP), ii) several additional steps of sonication in the ADP preparation and extractions with dense sodium dodecyl sulfate and phenol, and iii) adding two stages of phenol extractions. Proteins were extracted from roots using this new protocol (Method B) and a protocol described in the literature for T. cacao leaves and meristems (Method A). Using these methods, we obtained a protein yield of about 0.7 and 2.5 mg per 1.0 g lyophilized root, and a total of 60 and 400 spots could be separated, respectively. Through Method B, it was possible to isolate high-quality protein and a high yield of roots from T. cacao for high-quality 2-DE gels. To demonstrate the quality of the extracted proteins from roots of T. cacao using Method B, several protein spots were cut from the 2-DE gels, analyzed by tandem mass spectrometry, and identified. Method B was further tested on Citrus roots, with a protein yield of about 2.7 mg per 1.0 g lyophilized root and 800 detected spots. ",Genetics and molecular research : GMR,"['D000096', 'D002099', 'D015180', 'D059625', 'D013058', 'D018519', 'D019800', 'D018515', 'D010940', 'D018517', 'D012967', 'D012997', 'D013010', 'D014238']","['Acetone', 'Cacao', 'Electrophoresis, Gel, Two-Dimensional', 'Liquid-Liquid Extraction', 'Mass Spectrometry', 'Meristem', 'Phenol', 'Plant Leaves', 'Plant Proteins', 'Plant Roots', 'Sodium Dodecyl Sulfate', 'Solvents', 'Sonication', 'Trichloroacetic Acid']",Efficient method of protein extraction from Theobroma cacao L. roots for two-dimensional gel electrophoresis and mass spectrometry analyses.,"[None, 'Q000737', None, 'Q000379', None, 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', None, None, None, None]","[None, 'chemistry', None, 'methods', None, 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/25062492,2015,0,0,,roots of the tree
0.63,9246735,"Oral carbohydrate clearance and acid production were monitored over a two hour time period following the ingestion of six foods (chocolate bar, potato chip, oreo cookie, sugar cube, raisin and jelly bean). Each food was evaluated intra-orally in eight volunteers. Oral fluid samples were obtained from each volunteer at 30 min intervals at five different tooth sites using absorbent paper points. The oral fluid samples were analyzed qualitatively and quantitatively for carbohydrates and organic acids using high performance liquid chromatography. Data obtained for each food were averaged and subjected to statistical analysis. The quantity of lactic acid produced 30 min after ingestion was found to be in the following order: (highest) raisin > chocolate bar > sugar cube > jelly bean > oreo cookie > potato chip (least). Two hours after food intake the order had changed significantly: potato chip > jelly bean > sugar cube > chocolate bar > oreo cookie > raisin. A direct linear relationship existed between lactic acid production and the presence of glucose. In foods containing cooked starch prolonged clearance occurs via the intermediate metabolites maltotriose, maltose and glucose. Results indicated that the term 'stickiness', when used to label certain foods such as jelly bean and chocolate bar, should be used cautiously. Foods containing only cooked starch or cooked starch and sugars can be considered as 'sticky', since glucose arising from their intra-oral degradation contributed to acid production over prolonged periods of time.",Zeitschrift fur Ernahrungswissenschaft,"['D000328', 'D002099', 'D002851', 'D004040', 'D019422', 'D005638', 'D006801', 'D007700', 'D007773', 'D012463', 'D011198', 'D013997']","['Adult', 'Cacao', 'Chromatography, High Pressure Liquid', 'Dietary Carbohydrates', 'Dietary Sucrose', 'Fruit', 'Humans', 'Kinetics', 'Lactates', 'Saliva', 'Solanum tuberosum', 'Time Factors']",Intra-oral lactic acid production during clearance of different foods containing various carbohydrates.,"[None, None, None, 'Q000378', 'Q000378', None, None, None, 'Q000378', 'Q000737', None, None]","[None, None, None, 'metabolism', 'metabolism', None, None, None, 'metabolism', 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/9246735,1997,,,,
0.63,12621878,"The content of fat and fatty acids in 13 selected snack products (nuts and seeds) purchased on the marked in Warsaw region in 2000 have been investigated. The content of fat in examined products varied from 41% to 68%. The fat of nuts and seeds was rich in unsaturated fatty acids, except cocoa product.",Roczniki Panstwowego Zakladu Higieny,"['D002849', 'D004042', 'D005231', 'D006801', 'D009754', 'D011044', 'D012639']","['Chromatography, Gas', 'Dietary Fats, Unsaturated', 'Fatty Acids, Unsaturated', 'Humans', 'Nuts', 'Poland', 'Seeds']",[The content of fat and fatty acids in selected snack products (nuts and seeds)].,"[None, 'Q000032', 'Q000032', None, 'Q000737', None, 'Q000737']","[None, 'analysis', 'analysis', None, 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/12621878,2003,,,,
0.63,16019834,"The aim of this study was to investigate the influence of the shelling process on the presence of ochratoxin A (OTA) in cocoa samples. Twenty-two cocoa samples were analysed for the determination of OTA before (cocoa bean) and after undergoing manual shelling process (cocoa nib). In order to determine OTA contamination in cocoa samples, a validated high-performance liquid chromatography (HPLC) method with fluorescence detection was used for the quantitative analysis of ochratoxin A (OTA). In both types of samples, OTA was extracted with methanol-3% sodium hydrogen carbonate solution and then purified using immunoaffinity columns prior to HPLC analysis. Due to the fact that different recovery values were obtained for OTA from both types of samples, a revalidation of the method in the case of cocoa nibs was needed. Revalidation was based on the following criteria: Selectivity, limits of detection and quantification (0.03 and 0.1 microg kg(-1), respectively), precision (within-day and between-day variability) and recovery 84.2% (RSD = 7.1%), and uncertainty (30%). Fourteen of the twenty-two cocoa bean samples (64%) suffered a loss of OTA of more than 95% due to shelling, six samples suffered a loss of OTA in the range 65-95%, and only one sample presented a reduction of less than 50%. The principal conclusion derived from this study is that OTA contamination in cocoa beans is concentrated in the shell; therefore, improvements of the industrial shelling process could prevent OTA occurrence in cocoa final products.",Food additives and contaminants,"['D002099', 'D002851', 'D005504', 'D005506', 'D005511', 'D009793']","['Cacao', 'Chromatography, High Pressure Liquid', 'Food Analysis', 'Food Contamination', 'Food Handling', 'Ochratoxins']",Occurrence of ochratoxin A in cocoa beans: effect of shelling.,"['Q000737', 'Q000379', 'Q000379', 'Q000032', 'Q000379', 'Q000032']","['chemistry', 'methods', 'methods', 'analysis', 'methods', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/16019834,2005,,,,
0.63,15264891,"An improved sample preparation (extraction and cleanup) is presented that enables the quantification of low levels of acrylamide in difficult matrixes, including soluble chocolate powder, cocoa, coffee, and coffee surrogate. Final analysis is done by isotope-dilution liquid chromatography-electrospray ionization tandem mass spectrometry (LC-MS/MS) using d3-acrylamide as internal standard. Sample pretreatment essentially encompasses (a) protein precipitation with Carrez I and II solutions, (b) extraction of the analyte into ethyl acetate, and (c) solid-phase extraction on a Multimode cartridge. The stability of acrylamide in final extracts and in certain commercial foods and beverages is also reported. This approach provided good performance in terms of linearity, accuracy and precision. Full validation was conducted in soluble chocolate powder, achieving a decision limit (CCalpha) and detection capability (CCbeta) of 9.2 and 12.5 microg/kg, respectively. The method was extended to the analysis of acrylamide in various foodstuffs such as mashed potatoes, crisp bread, and butter biscuit and cookies. Furthermore, the accuracy of the method is demonstrated by the results obtained in three inter-laboratory proficiency tests.",Journal of agricultural and food chemistry,"['D020106', 'D002099', 'D002853', 'D003069', 'D004355', 'D013058']","['Acrylamide', 'Cacao', 'Chromatography, Liquid', 'Coffee', 'Drug Stability', 'Mass Spectrometry']","Improved sample preparation to determine acrylamide in difficult matrixes such as chocolate powder, cocoa, and coffee by liquid chromatography tandem mass spectroscopy.","['Q000032', 'Q000737', 'Q000379', 'Q000737', None, 'Q000379']","['analysis', 'chemistry', 'methods', 'chemistry', None, 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/15264891,2004,1,1,table 3 and 5,only cocoa 
0.63,1479781,"The qualitative and quantitative analytical methods were proposed for the simple and rapid determination of triacetin (TAc) in commercial gummy candies and other foodstuffs by gas chromatography (GC), thin layer chromatography (TLC) and infrared spectroscopy (IR). Each extract from the samples was obtained by pretreatment of the foodstuffs as follows: (A) Gummy candy was dissolved in warm water and the solution was extracted with chloroform. The organic (chloroform) layer was separated. (B) Samples (such as ice cream) containing substantial water were mixed with anhydrous Na2SO4 and stirred to sandy appearance and dried. The residue was homogenized with ether, followed by centrifuging, and the organic (ether) layer was separated. (C) Dried samples (such as chocolate and cookie) were smashed, homogenized with ether, and followed by centrifuging, and the organic (ether) layer was separated. (D) Candy was dissolved in warm water and the solution was extracted with ether. The organic (ether) layer was separated. Each organic layer from (A)-(D) was washed with 10% NaHCO3 and evaporated. The residue containing TAc was dissolved in dichloromethane. The extract obtained was subjected to column chromatography on silica gel. The fractions containing TAc were employed in GC with 25% PEG-20M column, TLC, and IR analyses. Recovery of TAc from gummy candy was 99.1 +/- 3.0% and those from other foodstuffs ranged from was 82.1 to 99.4% by GC. Detection limit by this method was 10 ppm. TAc was found to contain at a level as high as 550 ppm in one domestic gummy candy. On the other hand, one imported gummy candy contained no more than 20 ppm of TAc gummy candy.",The Kitasato archives of experimental medicine,"['D001628', 'D002099', 'D002182', 'D002849', 'D002855', 'D005503', 'D005504', 'D007054', 'D012997', 'D013055', 'D014215']","['Beverages', 'Cacao', 'Candy', 'Chromatography, Gas', 'Chromatography, Thin Layer', 'Food Additives', 'Food Analysis', 'Ice Cream', 'Solvents', 'Spectrophotometry, Infrared', 'Triacetin']",Triacetin as food additive in gummy candy and other foodstuffs on the market.,"['Q000032', 'Q000737', 'Q000032', None, None, 'Q000032', None, 'Q000032', None, None, 'Q000032']","['analysis', 'chemistry', 'analysis', None, None, 'analysis', None, 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/1479781,1993,,,,
0.63,19007497,"A reverse-phase liquid chromatography analysis is used to access the quantity of theobromine, (+)-catechin, caffeine, and (-)-epicatechin in Standard Reference Material 2384 Baking Chocolate, cocoa, cocoa beans, and cocoa butter using water or a portion of the mobile phase as the extract. The procedure requires minimal sample preparation. Theobromine, (+)-catechin, caffeine, and (-)-epicatechin are detected by UV absorption at 273 nm after separation using a 0.3% acetic acid-methanol gradient (volume fractions) and quantified using external standards. The limit of detection for theobromine, (+)-catechin, caffeine, and (-)-epicatechin averages 0.08, 0.06, 0.06, and 0.06 microg/mL, respectively. The method when applied to Standard Reference Material 2384 Baking Chocolate; baking chocolate reference material yields results that compare to two different, separate procedures. Theobromine ranges from 26000 mg/kg in cocoa to 140 mg/kg in cocoa butter; (+)-catechin from 1800 mg/kg in cocoa to below detection limits of < 32 mg/kg in cocoa butter; caffeine from 2400 mg/kg in cocoa to 400 mg/kg in cocoa butter, and (-)-epicatechin from 3200 mg/kg in cocoa to BDL, < 27 mg/kg, in cocoa butter. The mean recoveries from cocoa are 102.4 +/- 0.6% for theobromine, 100.0 +/- 0.6 for (+)-catechin, 96.2 +/- 2.1 for caffeine, and 106.2 +/- 1.7 for (-)-epicatechin.",Journal of chromatographic science,"['D002099', 'D002110', 'D002392', 'D002851', 'D004041', 'D015203', 'D013805']","['Cacao', 'Caffeine', 'Catechin', 'Chromatography, High Pressure Liquid', 'Dietary Fats', 'Reproducibility of Results', 'Theobromine']","Simultaneous determination of theobromine, (+)-catechin, caffeine, and (-)-epicatechin in standard reference material baking chocolate 2384, cocoa, cocoa beans, and cocoa butter.","['Q000737', 'Q000032', 'Q000032', None, 'Q000032', None, 'Q000032']","['chemistry', 'analysis', 'analysis', None, 'analysis', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/19007497,2008,,,,
0.63,3391947,"A method for the quantitative determination of monoethylene glycol (MEG) and diethylene glycol (DEG) in chocolate is described. The procedure involves dissolving the chocolate in hot water, defatting with hexane, removing sugars by precipitation, and analyzing as trimethylsilyl (TMS) ether derivatives by capillary gas chromatography. The use of butan-1,4-diol as an internal standard corrects for recovery, which is between 50 and 60%, to give a relative standard deviation of 10-11% for the determination of both glycols at the level of 50 mg/kg. The presence of MEG and DEG in chocolate is confirmed by full scanning gas chromatography/mass spectrometry of the TMS derivatives.",Journal - Association of Official Analytical Chemists,"['D002099', 'D002482', 'D002849', 'D019855', 'D005026', 'D005511', 'D005519', 'D010945', 'D012997']","['Cacao', 'Cellulose', 'Chromatography, Gas', 'Ethylene Glycol', 'Ethylene Glycols', 'Food Handling', 'Food Preservation', 'Plants, Edible', 'Solvents']",Gas chromatographic determination of monoethylene glycol and diethylene glycol in chocolate packaged in regenerated cellulose film.,"['Q000032', 'Q000032', None, None, 'Q000032', None, None, 'Q000032', None]","['analysis', 'analysis', None, None, 'analysis', None, None, 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/3391947,1988,,,,
0.63,730638,"A method for determining aflatoxins by high pressure liquid chromatography (HPLC) with fluorescence detection after CB extraction and cleanup has been applied to various foods. Recoveries at 1--15 ppb levels from green coffee and peanut butter was 72--85 and 74--104%, respectively. Precision of the method has been tested for peanut butter. Other products to which the method has been successfully applied include tree nuts, seeds, grains, chocolate-covered peanut butter candy, and roasted, salted-in-shell peanuts. High levels of aflatoxins found in several samples of nuts by this method have been verified by the official thin layer chromatographic (TLC) method. The advantages of this HPLC method are speed, precision, sensitivity, selectivity, and immediate chemical confirmation of aflatoxins B1 and G1. None of the products analyzed required special cleanup procedures. Preparative-scale HPLC was used to isolate purified B1 for toxicity testing.",Journal - Association of Official Analytical Chemists,"['D000348', 'D010367', 'D002851', 'D005504']","['Aflatoxins', 'Arachis', 'Chromatography, High Pressure Liquid', 'Food Analysis']",Reverse phase high pressure liquid chromatographic determination of aflatoxins in foods.,"['Q000032', 'Q000032', 'Q000379', None]","['analysis', 'analysis', 'methods', None]",https://www.ncbi.nlm.nih.gov/pubmed/730638,1979,,,,
0.63,27418182,"Fast methods for the extraction and analysis of various secondary metabolites from cocoa products were developed and optimized regarding speed and separation efficiency. Extraction by pressurized liquid extraction is automated and the extracts are analyzed by rapid reversed-phase ultra high-performance liquid chromatography and normal-phase high-performance liquid chromatography methods. After extraction, no further sample treatment is required before chromatographic analysis. The analytes comprise monomeric and oligomeric flavanols, flavonols, methylxanthins, N-phenylpropenoyl amino acids, and phenolic acids. Polyphenols and N-phenylpropenoyl amino acids are separated in a single run of 33 min, procyanidins are analyzed by normal-phase high-performance liquid chromatography within 16 min, and methylxanthins require only 6 min total run time. A fourth method is suitable for phenolic acids, but only protocatechuic acid was found in relevant quantities. The optimized methods were validated and applied to 27 dark chocolates, one milk chocolate, two cocoa powders and two food supplements based on cocoa extract. ",Journal of separation science,"['D002099', 'D005591', 'D002851', 'D010936', 'D059808', 'D064210']","['Cacao', 'Chemical Fractionation', 'Chromatography, High Pressure Liquid', 'Plant Extracts', 'Polyphenols', 'Secondary Metabolism']",Fast and comprehensive analysis of secondary metabolites in cocoa products using ultra high-performance liquid chromatography directly after pressurized liquid extraction.,"['Q000737', 'Q000379', 'Q000379', 'Q000032', 'Q000737', None]","['chemistry', 'methods', 'methods', 'analysis', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/27418182,2018,1,3,"table S2.1, S2.1 and S3.1",all the contents are in the supplement material for the paper
0.62,8896285,"A high intake of trans fatty acids in children may be disadvantageous because of untoward effects on lipoprotein metabolism and a possible impairment of arachidonic acid synthesis. We measured the trans fatty acid content of different brands of spreads and cold cuts typically consumed by German children because these foods may contribute a considerable portion of total trans fatty acid intake. The highest trans fatty acid contents were found in regular margarines (4.5, 0.0-10.6; median %-wt/wt of fatty acids, minimal-maximal), chocolate spreads (5.5, 0.7-11.1), butter (4.7, 3.7-5.2) and cheese (3.6, 1.8-4.0), while lower values were present in diet margarines (0.2, 0.0-0.4), vegetarian spreads (0.2, 0.1-0.4), peanut butter (0.0, 0.0-0.3) and sausages (1.7, 0.6-6.4). Calculations of typical dietary plans for young children show that food selection and variations in trans fatty acid contents may lead to marked differences in daily trans intake of > 100% (3.1 g/d vs. 1.5 g/d). We propose that trans fatty acid content should be declared on labels of fatty food products to enable the consumer to choose, and further attempts should be made to lower trans fatty acid formation during technical hydrogenation.",Zeitschrift fur Ernahrungswissenschaft,"['D000818', 'D010367', 'D002079', 'D002099', 'D002611', 'D002648', 'D002849', 'D003611', 'D004041', 'D004951', 'D005227', 'D006801', 'D008383', 'D008461']","['Animals', 'Arachis', 'Butter', 'Cacao', 'Cheese', 'Child', 'Chromatography, Gas', 'Dairy Products', 'Dietary Fats', 'Esterification', 'Fatty Acids', 'Humans', 'Margarine', 'Meat Products']",Trans fatty acid contents in spreads and cold cuts usually consumed by children.,"[None, 'Q000737', 'Q000032', 'Q000737', 'Q000032', None, None, 'Q000032', 'Q000032', None, 'Q000032', None, 'Q000032', 'Q000032']","[None, 'chemistry', 'analysis', 'chemistry', 'analysis', None, None, 'analysis', 'analysis', None, 'analysis', None, 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/8896285,1997,,,,
0.62,28207258,"Cocoa is known as an important source of flavan-3-ols, but their fate ""from the bean to the bar"" is not yet clear. Here, procyanidin A2 found in native cocoa beans (9-13 mg/kg) appeared partially epimerized into A2",Journal of agricultural and food chemistry,"['D002099', 'D002392', 'D003296', 'D005285', 'D013058', 'D015394', 'D010936', 'D044945', 'D012639']","['Cacao', 'Catechin', 'Cooking', 'Fermentation', 'Mass Spectrometry', 'Molecular Structure', 'Plant Extracts', 'Proanthocyanidins', 'Seeds']","Procyanidin A2 and Its Degradation Products in Raw, Fermented, and Roasted Cocoa.","['Q000737', 'Q000737', None, None, None, None, 'Q000737', 'Q000737', 'Q000737']","['chemistry', 'chemistry', None, None, None, None, 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/28207258,2017,1,1,text under results and discussion first sub section ,
