food,chemical,measurement,amount,variance,units,num_samples,variation,part,preparation,location,method,PMID,source,Sample_preparation
garlic,"1,3-Dithiane",relative %,3.85,0.03,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,"3-Vinyl-1,2-dithiocyclohex-5-ene",relative %,3.67,0.02,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,"3-Vinyl-1,3-dithiine",relative %,3.54,0.01,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Diallyl disulfide,relative %,49.23,0.02,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,"1,2-Dithiolane",relative %,3.63,0.03,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Diallyl trisulfide,relative %,14.19,0.02,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Methyl propyl disulfide,relative %,6.54,0.01,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Allyl methyl trisulfide,relative %,9.15,0.03,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Diallyl tertrasulfide,relative %,2.93,0.02,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Diallyl sulfide,relative %,1.13,0.03,%,3,,Bulb,,,GC-MS,29433241,https://www.sciencedirect.com/science/article/pii/S0963996917308384?via%3Dihub#tf0020,Essential oil was extracted from fresh garlic
garlic,Phenolics,mean,10.88,0.98,mg/g,3,,,,,Folin-Ciocalteu colorimetric method,28683396,https://www.sciencedirect.com/science/article/pii/S1570023217304129?via%3Dihub,Homogenized with distilled water in a lab blender to obtain black garlic juice. Undiluted Folin-Ciocalteu reagent and as 20% (w/v) Na2CO3_was added as well. 
garlic,total saturated fatty acids,mean,0.03,0.01,g/100g,3,,,raw,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,0.02,0,g/100g,3,,,boiling,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,0.03,0.01,g/100g,3,,,baking,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,0.12,0,g/100g,3,,,stir-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,1.04,0.22,g/100g,3,,,deep-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,0.02,0.01,g/100g,3,,,steaming,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,0.03,0.01,g/100g,3,,,roasting,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total saturated fatty acids,mean,0.03,0.01,g/100g,3,,,microwaving,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.07,0.02,g/100g,3,,,raw,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.07,0.02,g/100g,3,,,boiling,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.08,0.03,g/100g,3,,,baking,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.63,0.1,g/100g,3,,,stir-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,5.43,0.94,g/100g,3,,,deep-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.07,0.03,g/100g,3,,,steaming,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.08,0.03,g/100g,3,,,roasting,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total unsaturated fatty acids,mean,0.08,0.04,g/100g,3,,,microwaving,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0,0,g/100g,3,,,raw,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0,0,g/100g,3,,,boiling,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0,0,g/100g,3,,,baking,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0.01,0,g/100g,3,,,stir-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0.06,0,g/100g,3,,,deep-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0,0,g/100g,3,,,steaming,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0,0,g/100g,3,,,roasting,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total trans-fatty acids,mean,0,0,g/100g,3,,,microwaving,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.1,0.02,g/100g,3,,,raw,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.1,0.02,g/100g,3,,,boiling,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.11,0.03,g/100g,3,,,baking,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.76,0.11,g/100g,3,,,stir-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,6.53,1.15,g/100g,3,,,deep-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.09,0.04,g/100g,3,,,steaming,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.11,0.04,g/100g,3,,,roasting,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,total fatty acids,mean,0.11,0.04,g/100g,3,,,microwaving,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,The homogenized samples were mixed with triglyceride internal standard solution and pyrogallol solution followed by 8.3 M HCl.
garlic,*beta*-carotene,mean,2 to 3,,ug/100g,3,,,raw,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,2 to 3,,ug/100g,3,,,boiling,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,2 to 3,,ug/100g,3,,,baking,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,3,,ug/100g,3,,,stir-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,3.71,,ug/100g,3,,,deep-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,2 to 3,,ug/100g,3,,,steaming,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,3,,ug/100g,3,,,roasting,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*beta*-carotene,mean,2 to 3,,ug/100g,3,,,microwaving,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,0.25,,mg/100g,3,,,raw,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,.25 to .3,,mg/100g,3,,,boiling,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,.25 to .3,,mg/100g,3,,,baking,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,.25 to .3,,mg/100g,3,,,stir-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,1,,mg/100g,3,,,deep-frying,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,0.25,,mg/100g,3,,,steaming,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,.25 to .3,,mg/100g,3,,,roasting,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,*alpha* -tocopherol,mean,.25 to .3,,mg/100g,3,,,microwaving,,AOAC and NLS procedure and HPLC according to NLS procedure.,28459863,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411073/,"Samples was added to 6% pyrogallol solution (in ethanol). After vortex 2 min, N2_flushing and sonication of 60% KOH solution (in distilled water) was added for saponification reaction. Afterward, 20 mL of 2% NaCl solution (in distilled water) was added to extraction tube."
garlic,selenate,mean,2.4475,0.0275,ug/g,3,garlic 1,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenate,mean,2.515,0.03,ug/g,3,garlic 2,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenate,mean,2.555,0.0325,ug/g,3,garlic 3,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenate,mean,3.9725,0.0475,ug/g,3,garlic 4,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenomethionine,mean,20.4975,0.2725,ug/g,3,garlic 1,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenomethionine,mean,15.07,0.2175,ug/g,3,garlic 2,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenomethionine,mean,15.965,0.2225,ug/g,3,garlic 3,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,selenomethionine,mean,11.92,0.225,ug/g,3,garlic 4,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,Se-methylselenocysteine,mean,72.475,0.95,ug/g,3,garlic 1,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
garlic,Se-methylselenocysteine,mean,32.75,0.575,ug/g,3,garlic 2,Bulb,,,HPLC-HG-AFS analysis.,28249719,https://www.sciencedirect.com/science/article/pii/S0021967317302832?via%3Dihub,"Digested with  HNO3, H2O2_or HCl depending on the complexity of the samples. Prior to the determination, Se(VI) was reduced to Se(IV) with 3_mL of 6.0_mol_L_1_HCl, while heating at 100_çC by 7_min. Finally, the samples were filtered, adjusted to 20% (v/v) HCl and diluted to 50_mL in a volumetric flask with ultrapure water."
